DayID,Day_ofWeek,Store_Hours,Pharmacy_Hours,StoreID
M0009,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10009
T0009,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10009
W0009,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10009
R0009,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10009
F0009,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10009
S0009,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10009
U0009,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10009
M0010,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10010
T0010,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10010
W0010,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10010
R0010,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10010
F0010,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10010
S0010,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10010
U0010,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10010
M0011,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10011
T0011,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10011
W0011,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10011
R0011,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10011
F0011,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10011
S0011,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10011
U0011,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10011
M0012,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10012
T0012,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10012
W0012,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10012
R0012,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10012
F0012,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10012
S0012,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10012
U0012,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10012
M0013,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10013
T0013,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10013
W0013,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10013
R0013,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10013
F0013,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10013
S0013,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10013
U0013,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10013
M0014,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10014
T0014,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10014
W0014,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10014
R0014,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10014
F0014,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10014
S0014,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10014
U0014,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10014
M0015,Sunday,6:00A.M.-11:00P.M.,10:00A.M.-6:00P.M.,10015
T0015,Monday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10015
W0015,Tuesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10015
R0015,Wednesday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10015
F0015,Thursday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10015
S0015,Friday,6:00A.M.-11:00P.M.,9:00A.M.-11:00P.M.,10015
U0015,Saturday,6:00A.M.-11:00P.M.,9:00A.M.-7:00P.M.,10015

